qid,question,answer
686,代办激活信用卡咨询,您好，出于安全考虑，小龙人不建议您让他人帮您代办激活信用卡业务。如果您比较忙可以登录我行手机银行或者微信银行激活，方便快捷节省时间。
687,不销户的影响,储蓄卡账户不办理销户是不会影响个人信用的。但需提醒您，我行同一个人在同一家银行只能开立一个Ⅰ类户，因此，建议您方便的话可以到柜台办理销户业务。
688,借记卡销户手续费,您好，办理一卡通销户不收费，如果您要销户的储蓄卡账户中有系统未成功扣收的账户管理费，则销户时需要补缴。
689,办理零存整取提前支取,1.智慧柜员机：持银行卡到智慧柜员机，通过“个人业务-存款与投资理财-定期存款-取定期-刷卡、输密码”，选择要支取的定期，确认支取。2.手机银行：登录手机银行，通过“转账-定活互转-定期转活期”，选择要支取的定期，确认支取。3.个人网银；通过“转账汇款-定活互转-定期转活期”，选择要支取的定期，确认支取。4.柜台：持有效身份证件和存款介质到柜台办理（存折/单用户）。
697,PAD安全性保障,您的身份信息与手机号码的绑定构成手机银行独特的安全性；采用国际先进的加密手段确保交易数据的安全；采取登录密码保护、预留信息设置、签约机制、交易额度限制、短信动态口令、动态口令卡等手段有效防范风险，保证手机银行电子交易平台的安全；手机里关于客户账户信息隐私是保密的；只有签约账户才可以进行转账汇款，可降低客户资金交易风险。
698,使用PAD银行注意事项,1、不用的话要安全退出pad银行；2、平时不点不明链接、不安装不明软件、设置登录密码验证、设置日交易限额都是保护账户安全性的措施哦
699,签约账户是否能转账,只有签约账户才可以进行转账汇款，可降低客户资金交易风险。
700,PAD银行的交易限额,使用手机银行客户登录时，遵循手机银行Pad统一交易限额，目前暂为每笔2000元。
701,PAD银行转账手续费,您好，使用手机银行方式登录Pad银行，转账不需要手续费。
702,PAD转账到账时间,您好，我行的Pad银行转账汇款到账时间有实时到账、普通到账和次日到账三种方式，您可以自行选择，既方便又安全。
703,PAD网银端转账,2017年6月9日起，总行已经关闭了PAD银行的网银客户登录入口
704,PAD银行看不到定期存款,您好，您可以通过点击定期存款中出现的刷新按钮，刷新后即可从我的定期中查看到您的定期存款。
705,PAD银行查询账户类型,您好，您可以在账户查询，查询已开通手机银行的我行储蓄卡、准贷记卡账户，暂不支持公积金、社保等特殊账户类型。信用卡账户业务请在信用卡功能下办理。
706,PAD银行查看活期资产趋势图,活期存折和定期存折中暂不支持查看活期资产趋势图和收支分析图。
707,PAD查询明细错误提示,这是由于一折／卡通账户、理财卡账户的子账户信息发生了变动，请先点击“获取子账户信息”，在获取子账户信息后再进行明细查询
708,PAD银行购买理财业务,您好，Pad银行目前可办理基金认购、基金申购、基金赎回、理财产品认购、理财产品申购、理财产品追加、理财产品赎回、账户贵金属实时买入、账户贵金属实时卖出等业务，更多功能敬请期待。
709,PAD银行风险评估,您好，购买理财产品、基金需进行风险评估等级判断，如果客户是首次在我行购买理财产品，还需至网点进行风险评估。
710,PAD银行上在售理财与网银理财展示不一致,您好，在Pad银行未登录时，展现在售理财产品均为总行产品。客户登录后，除总行产品外将根据客户所持账户展现分行产品
711,PAD银行的办理信用卡业务功能,您好，您可以通过Pad银行办理信用卡余额查询、消费积分查询、账单查询、信用卡还款等业务。
712,PAD银行信用卡还款/查询,Pad银行是可以查询信用卡余额、账单及消费积分，并支持信用卡还款，建议您去电子银行体验区体验哦。
713,PAD银行还信用卡,您可以使用本人活期储蓄账户为本人信用卡进行人民币还款哦。如有外币欠款，请通过个人网银或手机银行办理购汇还款，以免逾期。
714,PAD银行代还信用卡,实在抱歉，我行Pad银行暂时只提供为本人信用卡还款功能。
715,PAD银行中的悦生活,悦生活可以为您提供生活缴费类服务，包括生活服务、行政教育、收款还款、娱乐出行、金融理财、高校服务、其他等七种类型
716,PAD银行的悦生活缴费,您可以在Pad银行中的悦生活，方便快捷地为您本人或他人缴纳水费、电费、煤气费、手机话费、市话费、学费等各种日常生活费用。
718,准贷记卡种类,龙卡准贷记卡按加入的信用卡组织不同，分为银联卡、VISA卡、万事达卡；按卡片信息载体不同分为磁条卡、芯片卡和复合卡；按发卡对象不同，分为个人卡和单位卡；按持卡人信用状况不同，分为普通卡和金卡；按卡片是否影印持卡人照片，分为彩照卡和非彩照卡。
721,乐当家理财卡的领卡时间,乐当家理财卡的申请需逐级上报，审批后方可制卡，周期相对较长，请您耐心等待！具体时间请咨询办卡网点的客户经理。
723,乐当家理财卡支持存款类型,乐当家理财金卡/白金卡内可存入的存款类型有：本外币活期、本外币整存整取存款、人民币零存整取存款、人民币存本取息存款、人民币整存零取存款、本外币通知存款、人民币教育储蓄存款、人民币定活两便存款、本外币通知存款一户通。
724,乐当家理财卡到期换卡,乐当家理财卡到期申请换卡的方式如下：1、已在柜台签约网银的客户将理财卡签约或追加网银后，可通过网银“我的账户—账户管理—预约换卡”办理。2、拨打95533转人工申请办理（目前山东（除青岛）及福建（除厦门）暂不支持；暂不支持卡号以5开头的万事达磁条理财卡、4开头的维萨磁条理财卡及62开头的银联磁条理财卡换卡）。3、户主持本人有效身份证件及理财卡至开户分行任意网点办理。
725,个人网银预约挂号,个人网银预约医院专家挂号的方法：登录个人网银，通过“生活服务—生活服务首页—保险医疗—银医服务—预约挂号”菜单进行某医院专家号或普通门诊号的预约业务。
726,预约取款,办理大额取款预约方法：1、您可以在我行网站首页（www.ccb.com），点击轮播广告栏下方右拉箭头，通过“网点业务预约—预约取款”，点击“马上预约”按钮后，按提示操作可预约金额大于5万元（含）的取款。2、登录个人网银，在“我的账户—网点业务预约-预约取款”菜单按提示操作。您也可以直接在网点进行进行预约。
728,公积金联名卡年费,1、我行公积金龙卡年费为10元/卡/年；2、与我行签约职工住房基金专户业务的公积金龙卡可免收年费；3、对于批量办理的公积金龙卡，可以在发卡的首年或一定时间内减免年费c
729,网点业务预约,办理网点业务预约的三种方式：                                                       1、登录我行官网（www.ccb.com），点击轮播广告栏下方右拉箭头，在“网点业务预约”栏目中选择业务类型后，点击“马上预约”按钮操作。2、登录个人网银，在“我的账户—网点业务预约”菜单下选择业务类型后按提示操作。3、登录最新版手机银行客户端，点击首页自定义功能菜单区域的“+”图标，进入“网点服务”页面，选择可预约的业务类型，之后根据提示操作
730,手机银行办理业务预约,请您登录手机银行，点击首页自定义功能菜单区域的“+”图标，进入“网点服务”页面，选择可预约的业务类型，之后根据提示操作。
731,个人网银办理业务预约,个人网银办理网点业务预约的方法：登录个人网银，通过“我的账户—网点业务预约”菜单，选择需预约的业务类型，根据页面提示填写相关信息即可
733,操作境内转账到境外的银行,您可以在网银“转账汇款>境外外汇汇款>外汇汇款”操作。
734,咨询是否能购外汇现钞,可以购买。
735,咨询如何购外汇现钞,您可以带上证件直接去柜台办理，也可以通过手机银行、网上银行进行预约。
737,咨询留学资产证明要求,您好，银行这边是无法得知留学需要的资产证明要求的，需要您通过相关国家的具体机构核实的 。
738,咨询留学签证资金要求,您好，此类问题是不属于银行的业务的，建议您咨询留学机构和出入境管理局。
739,自动转存介绍,自动转存是定期存款自动转存的简称，即：客户存款到期后，客户如不前往银行办理转存手续，银行可自动将到期的存款本息按相同存期一并转存，不受次数限制，续存期利息按前期到期日利率计算。续存后如不足一个存期客户要求支取存款，续存期间按支取日的活期利率计算该期利息。定期储蓄如果中间利率调整，对储蓄利息不产生影响，仍按存入日的利息计算。但是到期自动转存的时候，按照最新的利息执行。
740,自动转存办理,定期自动转存是指客户在存款开户时，预先向营业网点书面约定自动转存，或银行主动提供自助转存服务。
741,自动转存利息,自动转存的定期存款，在存款到期后按转存日同期限定期存款利率、原存期、原本金加实付利息作为转存金额办理自动转存业务。
744,个人通知存款自动转存,目前只有整存整取、通知存款及通知存款一户通到期后可以自动转存。
745,定期存款自动转存定义,定期自动转存是指客户在存款开户时，预先向营业网点书面约定自动转存，或银行主动提供自助转存服务。自动转存的定期存款，在存款到期后按转存日同期限定期存款利率、原存期、原本金加实付利息作为转存金额办理自动转存业务。
746,自动转存收益,自动转存的定期存款，在存款到期后按转存日同期限定期存款利率、原存期、原本金加实付利息作为转存金额办理自动转存业务。
748,自动转存提前支取,我行自动转存定期存款可以提前支取，办理时需由户主持本人有效身份证件、存款凭证办理。
749,代办自动转存提前支取,如需由他人代办的，代理人应持双方有效身份证件、存款凭证办理。
750,自动转存起存金额,自动转存起存金额：人民币1元起存，外币1个货币单位起存。
751,自动转存优势,客户存款到期后，客户如不前往银行办理转存手续，银行可自动将到期的存款本息按相同存期一并转存，不受次数限制，续存期利息按前期到期日利率计算。续存后如不足一个存期客户要求支取存款，续存期间按支取日的活期利率计算该期利息。
752,自动转存提前支取收益,全部提前支取和部分提前支取的部分，均按支取日挂牌公告的个人活期存款利率计付利息；未支取部分仍按原存单所定利率计息。
753,外币储蓄介绍,外币储蓄存款是指银行吸收自然人外汇资金的业务
754,外币储蓄办理,我行外币储蓄存款分为活期、定期和个人通知存款三种，建议您去柜台办理，小龙人先帮您取个号吧
755,外币储蓄销户,您好，如果你外币账户有外币，您可以转换成人民币，没有单独的外币储蓄账户销户功能的哦
756,外币储蓄收益,这个问题太专业了，小龙人帮您呼叫专业的理财经理给您介绍下吧
757,外币储蓄理财,你可以把外币储蓄账户里面的钱转成人民币直接在线上或者网点进行购买
758,外币储蓄提前支取,1．活期存款可随时支取。2．定期支取方式有：存款期满，储户凭存单一次支取本息；存款未到期，储户可凭存单和合法身份证明，办理部分或全部提前支取；储户的存款超过原定存期，逾期支取时，存期内按原定利率计息，其超过原定存期部分，按照支取日挂牌公告的活期存款利率计付利息。3．外币储蓄存款实行约定自动转存，即储户存款时可要求银行办理自动转存。在此情况下，存款到期后，储户未来办理支取手续，银行自动为储户办理转存，存期为原定存款期限，利率执行转存日挂牌公告的同期限定期利率，利息按复利计算，在转存后存期内储户要求支取，视作提前支取。
759,外币储蓄起存金额,活期没有起点金额，若是定期的话起存金额为等值人民币100元的外币
760,外币通过手机银行进行转账,手机银行是无法操作的哦
761,补卡/换卡能否保留原卡号,您好，出于风险控制考虑，损坏换卡可以同卡号换卡的，挂失补卡不能同卡号补卡。
762,打印两年前交易明细,若您需要打印2年（具体时间根据营业网点公布为准）以前的账户明细，建议您携带有效身份证件和银行账户至我行柜台咨询后打印。
763,查询理财产品持有情况,查询理财产品持有情况可选择如下方法：1、登录个人网银，点击“投资理财—理财产品—我的理财产品—持有产品”，查询您在我行购买的理财产品信息（信托类理财产品除外）。2、登录手机银行，通过“投资理财—理财产品”菜单，查看持有的理财产品信息。温馨提示：若无法查看到理财产品，请您核实购买的理财产品成立日（或投资起始日），您也可以查询理财产品的交易情况确认购买信息。
764,咨询出国金融服务,您好，我行现在为出国留学、商务旅行、移民国外的人士制定了相关服务，详情可咨询我行大堂经理。
766,咨询能否办理签证服务,您好，请您到出入境管理局咨询和办理签证业务，我行为您提供出国相关金融服务。
767,办理存款证明,您好，如果您在我行开立个人账户，我行可为您开具真实的存款书面证明。
768,留学贷款服务,我们这边可以提供留学贷款服务的哦，需要了解详细信息的话，小龙人可以帮您呼叫大堂经理介绍哦~
769,留学贷款的作用,留学贷款用于出国留学人员在国外学习、生活所需费用
770,境外汇票,您好，境外汇票指汇票转让行为涉及到不同国家的汇票，简单理解就是您可以在境外取款的一张汇票。
771,咨询是否有外汇业务,我行是有外汇业务的，只要有外币经营资质的网点都可以为您办理各类外币业务，本网点能否办理您可以咨询大堂经理哦。
772,办理外汇汇票,办理我行境外汇票，您需要填写《境外汇款申请书》，然后持申请书、有效身份证件和其他要求的资料到柜台办理。
773,咨询购汇金额限制,国家外汇管理局规定：办理占用额度的个人购汇业务，境内个人每年购汇限额总计为等值5万美元。超过年度限额购汇的，您还需向网点提供相关材料证明资金的合法用途。
775,微信银行功能,我行微信银行能够为您提供涵盖余额查询、明细查询、投资理财、信用卡服务等功能的便捷、安全的金融服务，以及生活缴费、商旅出行、善融商城、网点预约、医院挂号等多品类全方位的“线上+线下”一站式生活服务功能。您可以关注我们的公众号体验一下。
776,基金定投到期赎回,基金定投到期了可以一直放着，可以续交定投，也可以赎回。基金赎回时有赎回费用，费率根据基金的持有时间长短而不同。
777,基金账户销户流程,您好，请您本人携带身份证等有效证件，填写相关资料到柜台办理。
778,实物贵金属购买手续,您只需在营业日9点到15点半间，持现金、我行理财卡或龙卡通以及有效身份证件即可购买。此外我行还为您提供代保管、投资金条代保管回购业务。
779,实物贵金属提货,产品提货时，需要您提供本人有效身份证件。
780,实物贵金属回购,我行目前仅对已在我行办理了代保管业务的部分实物黄金种类进行回购，对客户已提取的黄金不办理回购业务。
781,实物贵金属退货,对不起，货品离柜后，我行概不接受退换。我行向您交付货品时，请您仔细检查货品是否完好。
782,贵金属存放,我行为您提供黄金产品的代保管、投资金条代保管回购相关业务。
783,个人网银查询我的网点业务预约信息,个人网银查询网点业务预约信息的方法：登录个人网银，进入“我的账户—网点业务预约—我的预约”菜单，查看未办理的预约业务以及历史预约信息。
785,查询银行联行号,如您需查询银行联行号，请拨打95533根据语音提示依次按电话键“1个人业务—1查询开户行、账户及金融信息—3开户行信息查询”，输入需查询的银行账号，系统播报开户行名称，播完后选择“2发送至手机”可将查询的开户行名称、联行号、地址及电话等信息发至手机。
787,私人银行卡的申办条件,"我行私人银行是我行银行服务于个人可投资资产600万以上高资产净值客户的专属品牌，致力于满足您个人、家族及事业发展等全方位需求,提供以私人财富管理、综合金融和专享增值服务为核心的全面金融解决方案。"
789,健康关爱,为感谢高端客户长期以来对我行的信赖和支持，我行联合有关健康服务公司面向高端客户推出健康关爱服务。详情可登录我行官网（www.ccb.com）点击“私人银行-产品服务”查看。
791,国际紧急援助,当您在异乡遇到突发事件需要帮助，可以随时随地拨打全球礼遇服务专线寻求帮助，届时将有专业人员和医生提供24小时的高品质服务，为您的国际行程保驾护航。
792,机场礼宾车服务,一、服务对象全行AUM1000万元以上客户。二、服务内容礼宾车服务指由专职司机驾驶礼宾专车，为客户提供由驻地到首都机场往返的点对点接机或送机服务。
793,养老规划,“幸福晚年”养老财务规划顾问咨询服务是基于客户养老需求目标和当前财务状况，根据客户提供的家庭资产负债、收入支出以及未来现金流等情况，运用相关模型预测客户养老金供给，帮助客户合理筹划资金，实现养老目标的服务。
794,信用尊享,“信用尊享”私人银行客户信用卡金融服务（以下简称“信用尊享”），是指针对我行私人银行客户（包括本人及其家庭）提供的信用卡金融产品类服务。该方案涵盖“尊享信用卡产品组合”、“尊享申办绿色通道”、“尊享信用额度服务”、““尊享用卡绿色通道”“尊享分期特惠商户”等五大尊享礼遇”
795,财富之星额度倾斜,我们将每年贷款规模中的一定比例用于支持私人银行客户所拥有的小企业。
796,财富贷,“财富贷”是指我行针对私人银行客户（包括本人及其家庭），根据其个人信用状况及金融资产状况，提供的差别化授信及个人贷款相关服务。
797,私人银行客户助业贷,私人银行助业贷是我行为满足高端客户从事合法生产经营的贷款需求，提供的一款以抵押和保证为担保方式的专属贷款产品。
798,挂失补卡,1.通过95533、手机银行、网银等非柜面渠道办理口头挂失的，请户主本人持有效身份证件直接到智慧柜员机或营业柜台办理挂失补发。2.通过柜台办理挂失的，请户主本人持有效身份证件及挂失申请书到挂失受理银行办理挂失补发。注：如您办理的是临时挂失，则需在挂失有效期内办理挂失后续处理或继续挂失（临时挂失5个自然日后自动解挂）。
801,手机银行办理信用卡的手续,您好，您在手机银行上提交申请之后，我行后台同事会对您的情况进行核实审查，如果审查通过，会有专业的同事电话联系您，请您保持手机畅通！
802,手机银行申办信用卡的额度,您好，信用卡额度是我行对您的信用评估后给您确定的额度，每个人的信用额度都不一样。而且，卡激活使用后，会根据您的使用及还款情况，可以给您提额度的。
804,手机银行解锁信用卡,您好，如因密码输错多次而导致信用卡被锁，已开通手机银行客户登录手机银行，通过“信用卡-信用卡管理-密码管理-消费取现密码”重置后可恢复用卡；未开通手机银行客户需持卡片及身份证至我行任一网点重置密码；其余情况请您直接致电我行客服热线95533选择“2-信用卡业务”转人工办理。
805,手机银行查询信用卡初始密码,您好，信用卡没有初始密码，收到新卡激活时可自行设置密码。
806,手机银行查询信用卡邮寄情况,您好，请您登录手机银行，通过“信用卡—信用卡管理—办卡进度查询”。
807,短信银行的服务费,您好，尊敬的客户，个人短信通知服务，收费标准如下：信用卡账户小额交易（单笔交易500元以下）短信通知3元/月；其他账户资金变动通知服务5元/月/账户/机，可按月、季、年收取。
808,短信银行的交易结算费,您好，交易结算费请看下表：
810,短信银行注销,您好，您可以本人持有效身份证件、银行卡发卡银行柜台办理注销，也可以避免排队，在www.ccb.com点击页面上方电子银行—业务办理—消息服务定制”，填写并提交相关信息后，点击对应账户右侧“注销”按钮操作
811,短信提示无法正常接收,您好，您可以先检查一下您接收短信的手机号是否可以正常使用。如果是正常的，您可以持有效身份证件去柜台查询一下
812,短信提醒错发,您好，这种情况有可能是别的客户在银行预留的您现在使用的手机，可以拨打人工客服95533为您办理，也可以去柜台反映给我们的柜员同事，他们会为您尽快解决。
814,短信服务提醒门槛,您好，开通的时候您是可以自行设置起点金额的，默认起点金额为0元。
818,网上银行开通短信银行,打开个人网银，点击页面上方的“设置-消息服务定制”，选择“储蓄账户”下的“账户变动通知”，点击“定制”，填写定制参数后，确定定制信息并输入短信验证码，即可成功办理。
823,个人账户贵金属业务品种,您好，我行已针对黄金、白银和铂金三类贵金属推出以人民币和美元的账户交易业务，分别是账户金（纸黄金）、账户银（纸白银）、账户铂（纸铂金）交易业务。人民币账户金、人民币账户铂交易的起点数量为0.1克，人民币账户银交易起点数量为1克。美元贵金属交易的起点数量为0.1盎司。
824,个人账户贵金属的定投业务介绍,个人账户贵金属定投业务，是我行提供的以账户贵金属为标的，按照约定日期、约定时点和约定条件，为您自动买入相应账户贵金属份额的业务。
825,个人账户贵金属定投业务起投金额,个人账户贵金属定投的起投金额是由账户贵金属起点数量价格而定，人民币账户金、人民币账户铂交易的起点数量为0.1克，人民币账户银交易起点数量为1克。美元贵金属交易的起点数量为0.1盎司。
826,个人账户贵金属定投业务的定投周期,按日定投情况下，投资者可选择每N日为频率进行账户贵金属定投，即每N天定投一次；按月定投情况下，投资者可选择每M（1-12）月的N日进行定投，即每M月的第N日定投买入一笔。
827,个人账户贵金属定投业务的定投起始日,办理个人账户贵金属定投签约时，客户须指定“定投起始日”，定投起始日应为定投生效日起90天以内的某一日。定投生效日是指客户定投签约日的次日。
828,修改/撤销账户贵金属定投,个人账户贵金属定投业务的办理渠道如下：1、登录个人网银，依次选择“投资理财—账户贵金属—账户贵金属及双向交易”，在右上方的“交易信息查询”区域点击“定投查询”，即可修改/撤销账户贵金属定投操作。                 2、登录个人网银，依次选择“投资理财—账户贵金属—账户贵金属及双向交易”，在页面中部右侧交易信息栏目中选择“定投交易”，根据提示可以修改定投周期。
829,账户贵金属定投业务的办理渠道,个人账户贵金属定投业务的办理渠道如下：1、登录个人网银，依次选择“投资理财—账户贵金属—账户贵金属及双向交易”，在页面中部右侧交易信息栏目中选择“定投交易”，根据提示操作即可。2、户主持本人有效身份证件、储蓄卡前往开户分行内任意对私网点办理。
840,个人网银开通资费,您好，目前开通个人网上银行是不收取费用的
841,购车分期介绍,龙卡购车分期指我行信用卡客户同意支付首付款（首付款为净车价减去审批通过金额）情况下，向我行申请用其龙卡信用卡（不包括商务卡、学生卡、附属卡和担保办卡），在我行指定经销商购买家用汽车。我行核准后，将实际分期金额平均分成若干期，由持卡人在约定期限内按月还款，并支付一定手续费的业务。
842,信用卡额度恢复,如您通过我行网点、自助终端、网银、手机银行、微信银行办理信用卡还款，实时恢复信用额度。如您通过第三方支付机构办理还款，不同的第三方支付机构还款资金到账时间可能不同，您可详询第三方支付机构客服。
843,挂失信用卡后，重新找到后能否重新使用,您好，信用卡挂失一旦生效，不可撤销。如仍有疑问，请致电95533
844,万事达卡在境外遗失,如果您在境外遗失我行信用卡，请您及时登录手机银行办理挂失，或拨打我行境外客服热线86-28-95533办理挂失。
845,首次登录个人网银密码设置,您好，如果您是首次登录的话，请您按照以下步骤先设置网银登录密码，然后再登录个人网上银行：1、进入个人网上银行登录界面，点击首次登录下方的“设置登录密码”；2、输入证件号码和姓名，点击“登录”；3、选择任一签约账户，输入网银签约预留手机号码后四位； 4、输入取款密码及短信验证码；5、设置用户名及登录密码（登录密码必须为“字母+数字”的组合）即可。
846,个人网银登录密码重置,请点击个人网银登录页面“登录”按钮下方“忘记密码”按钮，重新设置登录密码，然后使用新设置的网银密码登录网银。
848,查询网银交易明细,如果是借记卡的话，请登录个人网银，通过“我的账户—账户查询”菜单，点击“明细”进行账户明细查询。 如果是信用卡的话，登录个人网银，通过“信用卡—我的卡包”菜单，选择“本期账单”、“历史账单”或“交易明细”查询已出账单或未出账单。
849,调整网银交易限额,请您携带有效身份证件、银行卡和网银盾到柜台办理，修改限额不能代办。
852,网银缴水电费,请您登录个人网银，通过”生活服务-常用服务“菜单，选择缴费项目和对应的缴费地区，根据提示完成缴费。
853,网银缴话费,请您登录个人网银，通过”生活服务-常用服务“菜单，选择缴费项目和对应的缴费地区，根据提示完成缴费。
854,网银缴有线电视费,请您登录个人网银，通过”生活服务-常用服务“菜单，选择缴费项目和对应的缴费地区，根据提示完成缴费。
856,如何设置网银登录预留信息,网银上方“设置”菜单里，可以进行防伪验证信息设置。设定后将在登录后页面右上方的信息提示区或在网上购物时支付首页显示“您自己设置过的预留信息”。一旦发现防伪验证信息和您设置的不同，请立即停止交易并与我行95533联系
857,网银登录验证码提示错误,您好，请查看您的验证码是否输入正确；若输入正确，请关闭页面，再次输入验证码
858,网银登录不上去,您好，可能是您的用户名或密码输入错误，请您仔细核对，如忘记密码，可以通过登录按钮下方的“忘记密码”进行密码重置哦。
859,网银登录用户名已存在提示,您好，您输入的用户名已有其他客户使用，请更换用户名。
860,信用卡账单分期的促销活动,我行经常会推出账单分期优惠活动，建议您微信关注我行信用卡公众号（CCB_4008200588）了解最新优惠活动，您也可以咨询大堂经理。
861,消费分期的促销活动,我行经常会推出消费分期优惠活动，建议您微信关注我行信用卡公众号（CCB_4008200588）了解最新优惠活动，您也可以咨询大堂经理。
862,商户分期的促销活动,我行与商户合作，不定期推出各类优惠活动，建议您微信关注我行信用卡公众号（CCB_4008200588）了解最新优惠活动，购买商品时与商户多了解。
865,信用卡账单分期的办理条件,账单分期申请金额最低为300元人民币，最高不超过已出账单中人民币消费总金额（不含取现、分期付款以及我行规定的其它交易）的90%。
866,消费分期介绍,龙卡信用卡消费分期付款指消费交易入账后至账单日前2日（外币前3日），可致电我行申请消费金额逐笔分期。
867,购车分期好处,办理购车分期的好处有：1.优惠费率：合作汽车厂商贴息，远低于同期限汽车贷款利率；                                              2.专享额度：购车分期额度最高可达50万；3.灵活期限：最长36月分期还款，提前享受汽车生活；4.轻松理财：缓解资金压力，增加购买预算。
868,商户分期的好处,商户分期的好处有：手续简便：随时下单，自由分期，无需额外申请；理财体验：一次消费，分期付款，减轻财务压力；提前享受：轻松购物，更多满足，早日实现梦想；积分回馈：累计积分，精彩换礼，体验超值回馈；
869,消费分期适用条件,单笔刷卡消费满人民币500元或等值外币就可以致电我行95533申请消费分期。
870,购车分期的合作品牌,我行在本市有多家合作商可办理购车分期，具体合作商家及商家地址请咨询大堂经理。
871,办理信用卡分期,信用卡分期分为账单分期、消费分期、现金分期、购车分期、装修分期、留学分期和商户分期。您可以这样问我“怎么办理账单分期？““什么是账单分期？”……
872,信用卡分期后信用额度变化,1.若您使用信用卡现有额度进行消费并办理分期（如消费分期、账单分期、现金分期、商户分期、网购分期）分期金额将全额占用您当前的信用额度，当您每月按时还款后，可用额度将逐步恢复；2.若您办理我行大额专项分期（如购车分期、留学分期、装修分期、车位分期），则不占用您的信用额度。但每月分期应还金额将于账单日后计入您的账户并占用额度，当您按时还款后，可用额度将恢复。
873,信用卡分期提前还款,信用卡分期业务可以申请提前还款，您可以致电我行95533客服进行申请。
874,信用卡账单分期期数,目前我行提供3个月、6个月、12个月、18个月和24个月的账单分期，持卡人可自由选择期数申办。
875,信用卡消费分期期数,目前我行提供3个月、6个月、12个月、18个月和24个月的消费分期，持卡人可自由选择期数申办。
876,无卡交易失败咨询,您好，有可能。由于您在无卡交易中已与商户达成付款协议并向商户提供卡号、有效期等卡片信息，商户后续是否向银行清算，主动权不在银行，请您与商户确认取消该笔交易/订单，否则在卡片状态正常或额度足够时，款项仍可能清算。与商户确认取消交易前请勿再交易，以免发生不必要的损失
877,对账单咨询,您好，对账单上显示的商户名称是商户在申请安装POS机时登记的名称，这个名称有时会与您消费的具体商户招牌名称或地点有所出入。如果这种情况影响了您准确对账，您可以致电银联客户服务热线，对具体的消费场所进行查询。
878,信用卡交易失败咨询,您好，信用卡不能使用可能是：①信用卡未激活；②信用卡已过有效期；③刷卡机故障或使用时线路繁忙；④信用卡可用额度不足；⑤卡片损坏或背面的磁条已消磁；⑥在国家、监管机构限制或禁止的商户进行消费；以上情况均可能导致信用卡无法正常使用。
879,预授权咨询,您好，在您入住酒店或租车时，商家可刷卡预扣一定金额作为押金，并在消费完成后再次刷卡实际结算，此类交易一般称作预授权交易。预授权预扣金额占用信用卡可用额度，预授权完成后，多占用的可用额度可立即恢复。
880,风险咨询,您好，不法分子惯用冒充银行工作人员的手法进行电话或短信诈骗，并以银行为持卡人寄送礼品但需支付一定款项为由，骗取客户资金。若客户收到此类电话或短信，请及时拨打我行客服电话核实情况，在任何时候，不要轻信陌生来电，也不要轻信只要支付一定费用就可提高额度、赠送礼品、赠送积分，谨记妥善保管个人信息。
881,外币卡咨询,您好，您可以通过手机银行和智慧柜员机申请我行信用卡，如果不知道什么卡适合自己，您可以呼叫大堂经理为您介绍。
882,境外信用卡类型,我行有多种类型的信用卡可供您选择：1.全球支付信用卡：可在全球任何国家和地区使用，免收外汇兑换手续费；2.双币种信用卡：可在“银联”或VISA/万事达/JCB的标志商户使用，选择银联路线消费或在使用美元/欧元地区刷相应币种卡消费免收外汇兑换手续费；3.单币种信用卡：只能在境外带有“银联”标识的商户使用。
883,咨询VISA卡,VISA卡是我行与VISA国际组织联合发行的卡片（储蓄卡和信用卡），这种卡片可以在全球范围内的VISA特约商户进行消费。
884,咨询万事达卡,万事达卡是我行与MasterCard国际组织合作发行的卡片（储蓄卡和信用卡），这种卡片可以在全球范围内的特约商户进行消费。
885,咨询银联单币种卡,银联单币种卡只能在境外带有“银联”标识的商户使用，也可在贴有银联标识的ATM，凭卡片和密码提取当地货币。
886,VISA卡的使用,1.可以在全球范围内的VISA特约商户进行消费2.可在贴有VISA、[PLUS]或银联标识的ATM，凭卡片和密码提取当地货币；3.也可以在有VISA标识的银行柜台，凭卡片及护照等有效身份证件提取当地货币。
887,万事达卡的使用,1.可以在全球范围内的万事达特约商户进行消费；2.可在贴有MasterCard、[CIRRUS]或银联标识的ATM，凭卡片和密码提取当地货币；3.也可以在有MasterCard标识的银行柜台，凭卡片及护照等有效身份证件提取当地货币。
888,信用卡国外取现金额限制,根据人民银行和外管局的相关规定，境外通过银联、VISA、MasterCard或JCB网络提取外币现钞时，每卡每日取现累计金额不超过等值1000美元，每月不超过等值5000美元，每半年不超过等值10000美元
889,VISA卡与万事达卡的区别,visa属于威士国际组织（VISA International）及万事达属于万事达卡国际组织（MasterCard International）目前来讲两家国际组织在国内区别不大
890,手机银行转账不成功,一、如果您未开通手机银行，请到柜台或智慧柜员机开通；二、如果您更换了手机号，为变更手机银行签约手机号；请到柜台或智慧柜员机关闭原签约手机号后，用新手机号重新开通即可。
891,更改预留手机号,请您携带有效身份证件、储蓄卡和手机到柜台修改，请刷身份证取号；如是信用卡，请拨打“95533—2信用卡”咨询。
892,你能做什么,我会陪您聊天，还可以回答您的业务问题。
893,借记卡开户,使用身份证开户可以直接到VTM机办理，方便又快捷；如果使用其他证件开户请前往柜台办理。
894,推荐信用卡,我行有很多种类的信用卡，南航龙卡、天河城百货龙卡、汽车卡、粤通卡等等，每一种卡片都有不同的优惠，总有一款适合您，请您前往柜台咨询。
